id,user,created_at,text
1049728772663115777,CathyElephants,2018-10-09 18:30:17,"RT @YGalanter: @RockTheVoteAF @EricTrump @RockTheVote And then daddy quote-tweeted it. Apple, apple tree etc. https://t.co/hrsYwzilXp"
1049728770767245312,wannabyun,2018-10-09 18:30:16,You guys look like gods fr. Anyway thank u for working so hard yesterday. We love u and Im sorry the Apple event h https://t.co/h2fvDDbVib
1049728769576062977,amitaiz,2018-10-09 18:30:16,"RT @DanielEran: Before #ChinaHack, Bloomberg published these five incorrect stories about Apple this year  https://t.co/2Ts6u6qqBh"
1049728768414273537,dayitorres48,2018-10-09 18:30:16,"RT @barbarammzz: Ya pueden escuchar ""Here To Remind You"" en Spotify, iTunes, Google Play etc! 

Spotify: https://t.co/dkIy9Dtt71

iTunes:"
1049728768326160387,albator50,2018-10-09 18:30:16,RT @DirectTablet: Sarahs Choice #book 1 in the #series get it at #APPLE #asmsg #spub #ian1 #iartg #scifi #nd https://t.co/WLcSvUkpXB https:
1049728767034306561,Cityline,2018-10-09 18:30:15,We're cooking #FarmtoTable todayand @ChefRandyF is serving up cod cakes with fennel apple slaw and quick pickled r https://t.co/mJY70KusCB
1049728766879166465,Ambitious_Bryan,2018-10-09 18:30:15,AYYYYYEEE SHOUTOUT MY NIGGA WITH THE ACCENT XAVI GOT THE JOB AT APPLE 
1049728765268566017,eduardoinyoface,2018-10-09 18:30:15,"RT @kaylamdimarco: Eve: wig wtf this apple snapped.. the flavor jumped out

Adam: oomf is literally eating from the flop forbidden tree.. a"
1049728764375158784,Zackrows26,2018-10-09 18:30:15,"RT @kaylamdimarco: Eve: wig wtf this apple snapped.. the flavor jumped out

Adam: oomf is literally eating from the flop forbidden tree.. a"
1049728763896975366,OohlalaNY,2018-10-09 18:30:14,Apple picking outfit ready  wheres everyones favorite place to go apple picking? #OOTD #iloveooh https://t.co/RmJ3juNapB
1049728763355942912,_ibukun_id,2018-10-09 18:30:14,RT @jola_adebayor: Me rubbishing apple products when I can't even afford orange https://t.co/76dozqakhJ
1049728762605182976,FRESHXPRODUCE,2018-10-09 18:30:14,"if this is the type of music/vibe you enjoy, check out this playlist curated by our very own @Renay_Anissa on Apple Music"
1049728762303131650,HollyTaeJae,2018-10-09 18:30:14,"RT @AppleMusic: .@NCTsmtown_127 took over LA last night with an unforgettable performance. Watch their #UpNext film now, only on Apple Musi"
1049728762143825920,lastro_10,2018-10-09 18:30:14,"RT @Msentiii_: @akaworldwide just went number 1 on Apple Music too  yes I said ""too"" 
We're winning. https://t.co/OuzTwIL2rS"
1049728761313337344,TheCrossover,2018-10-09 18:30:14,"New Open Floor Podcast: How do the Spurs cope without Dejounte Murray?

Listen and subscribe: https://t.co/62z3xGU83R"
1049728760768094214,psoulsport,2018-10-09 18:30:14,"RT @Ighodaro1: Tecno dominates the mobile phone market in Nigeria with a total market share of 41%. Clearly outpacing Nokia, Samsung, Apple"
1049728760646422529,CardiffBizTweet,2018-10-09 18:30:14,Apple Anti-Fans Trolled Into Thinking iPhone XS Photos Were Shot By Pixel2 https://t.co/bRkS0Uh0Sn https://t.co/Xmxd1BMjvw
1049728760298307584,chamuieI,2018-10-09 18:30:14,apple give me this emoji now or im gonna be callin zico https://t.co/DNbW0MhYBl
1049728759027388416,elfalhisalwa1,2018-10-09 18:30:13,"RT @ArmyBrigade13: The newest BTS Album just came out and we can't hide our excitement 

For more informations check this #LYAnswerOutNo"
1049728757693538304,wcgoldberg,2018-10-09 18:30:13,"RT @LockedOnHeat:  New Locked On Heat 

DAY 2 of Player Preview Week. 

We talk about if Dion Waiters will start, how Wayne Ellington can"
1049728756686839809,wadano_engbot,2018-10-09 18:30:13,I can make apple pie without any magic!
1049728756322095104,I_am_gay_teache,2018-10-09 18:30:13,"RT @chartsladygaga: ESTABILIDADE!

iTunes US 

1. Shallow (=) *12 days at #1*
2. Always Remember Us This Way (=)
3. I'll Never Love Again"
1049728756301082625,JuanaCamila22,2018-10-09 18:30:13,RT @Janefonda: Can't believe it's been 50 years since the release of Barbarella!  #Barbarella50 https://t.co/4f0hF82oeu https://t.co/uHzuQ
1049728755068006401,QuesoDeSuarez,2018-10-09 18:30:12,"RT @barbarammzz: Ya pueden escuchar ""Here To Remind You"" en Spotify, iTunes, Google Play etc! 

Spotify: https://t.co/dkIy9Dtt71

iTunes:"
1049728754916909056,AntoniaParker01,2018-10-09 18:30:12,"RT @ARMYGLOBAL_twt: .@BTS_twt just dropped a new album named Love Yourself : Answer . Go and show the album all your love 

Apple Music:"
1049728753763520513,antarjaal,2018-10-09 18:30:12,Kannada stickers for #iMessage Enjoy maadi #kannada # https://t.co/n7a16HSMuQ https://t.co/iN1XS8KUAV
1049728752513626112,morkylee,2018-10-09 18:30:12,"RT @AppleMusic: .@NCTsmtown_127 took over LA last night with an unforgettable performance. Watch their #UpNext film now, only on Apple Musi"
1049728752081616896,getwellgomez,2018-10-09 18:30:12,"RT @tswiftchart13:  iTunes US:

952. I Did Something Bad (+242) 
https://t.co/GiGLOjfiIO"
1049728751888683013,AprilFuller2,2018-10-09 18:30:12,I just beat Sheldy27 in #FARKLE on Dice World! My user is Dezzi. https://t.co/jdfu7W5jJe https://t.co/jdfu7W5jJe
1049728751792283649,Onnit,2018-10-09 18:30:12,Are you having difficulty breaking old bad habits or forming new good ones? Dont miss this #podcast with https://t.co/BBkV9Ptf7A
1049728751456722945,quixotehamlet,2018-10-09 18:30:12,"RT @YGalanter: @RockTheVoteAF @EricTrump @RockTheVote And then daddy quote-tweeted it. Apple, apple tree etc. https://t.co/hrsYwzilXp"
1049728750651203584,PRiiFT,2018-10-09 18:30:11,"RT @bougiexbliss: he has his FOOT on everybodys necks !

#YUTA #NCT127_Regular_Eng #NCT127 (apple music) https://t.co/Jku0JJxoHH"
1049728749313376256,jen0821_,2018-10-09 18:30:11,"RT @NCTsmtown_127: So unbelievable performing on @JimmyKimmelLive tonight! Watch our exclusive film now, only on @applemusic!! https://t.co"
1049728749279666176,TheViewWinery,2018-10-09 18:30:11,"RT @wickedwinetours: Moody atmosphere in the old apple packing plant that is home to @TheViewWinery.  
.
.
.
#exploreBC #exploreKelowna #B"
1049728746637467648,GroundWorkBoyz,2018-10-09 18:30:10,[GWB PROMO] Chance$ By @GWB_Doe Stream On Apple Music :  https://t.co/8VohW5jHPQ
1049728745492369409,MsAvaArmstrong,2018-10-09 18:30:10,"Turn the TV off.

Turn your phone on!

Listen to America Out Loud 
SUBSCRIBE for FREE

https://t.co/kUeSWeLQYi https://t.co/bj3NxuL9Mp"
1049728745479831553,AustinMSlingers,2018-10-09 18:30:10,Jimmy Kimmel Montage Nails 1 Key Difference Between Melania Trump At Home And In Africa - HuffPost https://t.co/PiFDRL1KkT
1049728745039425536,bzbx,2018-10-09 18:30:10,"GOP: Protesters Are Mobs  Unless They Have Guns and Like Us - New York Magazine
#RepubliKKKans keep lying because https://t.co/QKwUJpTVtw"
1049728744288604160,tomi_chappy,2018-10-09 18:30:10,@abynaa_eryka @denaabs @BelvyNaa E dey apple music?
1049728744196333568,bxrrybun,2018-10-09 18:30:10,"RT @NCTsmtown_127: #NCTzen!  Thank you from the bottom of our hearts for last night!! Were so thankful for you and your support.

https:/"
1049728742631923712,funky90kid,2018-10-09 18:30:09,RT @KNeferhetep: Now 85% of yall out here talking about Ill never get that! WILL get it as soon as a celebrity tells you to. Let them p
1049728741662953474,BishaAmi4,2018-10-09 18:30:09,"RT @ksjdoll: omg i cant believe its finally here! #LYAnswerOutNow on:

Apple Music: (https://t.co/JPa4OwKIro)
Spotify: (https://t.co/ySwQ"
1049728741230952448,brian_c_legg,2018-10-09 18:30:09,@DrChrisSanchez @Apple Any issues with the install?
1049728741125939200,indianparker,2018-10-09 18:30:09,"The Pixel 3 is about to be the best phone on the planet and yall will still stay with apple. Lmao, google new software is nuts."
1049728740656214016,bjaem_s,2018-10-09 18:30:09,RT @NE0BOSS: HAECHAN WAS SO HAPPY AT THE APPLE MUSIC EVENT!  https://t.co/3eKmDZJbjW
1049728739565813760,hectord_ng88,2018-10-09 18:30:09,RT @FantasyAJ24: @barrossmith59 @MikeTanier Allegations of sexual misconduct vs allegations of cheating on a tennis court. Yes those are Ap
